Age,Department,JobRole,Attrition,CareerStage,CareerCluster,HierarchicalCluster,PromotionGapRatio,RoleStagnationIndex,TrainingIntensityScore,ManagerStabilityIndicator,CareerVelocityScore,SalaryGrowthProxy,PromotionGapRiskScore,PromotionGapRisk,RetentionOpportunityIndex,RetentionOpportunity,TrainingNeedIndicator,ManagerStability
53,Research & Development,Manager,0,Mid Career,2,0,0.2857142857142857,0.9285714285714286,0.21428571428571427,0.5714285714285714,0.19230769230769232,55,0.5428571428571428,High,0.7428571428571429,High,Needs Development,Lower Stability
32,Research & Development,Research Scientist,1,Mid Career,3,2,0.6,0.2,0.5,0.7,0.1,22,0.44,Medium,0.4633333333333334,Low,Adequate,Higher Stability
42,Sales,Sales Executive,0,Mid Career,0,3,0.4444444444444444,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.2,22,0.5777777777777777,High,0.7148148148148148,High,Needs Development,Lower Stability
44,Research & Development,Healthcare Representative,0,Senior Career,2,0,0.22727272727272727,0.2727272727272727,0.18181818181818182,0.7727272727272727,0.125,42,0.24545454545454543,Low,0.3984848484848485,Low,Needs Development,Higher Stability
46,Sales,Manager,0,Early Career,3,2,1.0,1.0,1.0,0.5,0.22727272727272727,60,1.0,High,0.9666666666666668,High,Adequate,Lower Stability
33,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,1.0,3.0,0.0,0.14285714285714285,11,0.4,Medium,0.6,Medium,Adequate,Lower Stability
44,Research & Development,Healthcare Representative,0,Growth Stage,0,3,0.25,0.5,1.25,0.75,0.2222222222222222,26,0.35,Medium,0.4833333333333333,Low,Adequate,Higher Stability
30,Research & Development,Laboratory Technician,0,Mid Career,0,3,0.1,0.0,0.5,0.8,0.1,13,0.06,Low,0.21333333333333335,Low,Adequate,Higher Stability
39,Sales,Sales Representative,1,Early Career,1,1,0.0,0.0,6.0,0.0,0.10526315789473684,28,0.0,Low,0.0,Low,Adequate,Lower Stability
24,Research & Development,Research Scientist,1,Early Career,3,1,1.0,0.0,1.0,0.0,0.16666666666666666,16,0.6,High,0.4666666666666667,Low,Adequate,Lower Stability
43,Research & Development,Research Scientist,0,Growth Stage,0,3,0.2,0.6,0.6,0.8,0.16666666666666666,12,0.36,Medium,0.54,Medium,Adequate,Higher Stability
50,Sales,Sales Representative,1,Growth Stage,0,3,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,14,0.26666666666666666,Low,0.5111111111111111,Medium,Adequate,Higher Stability
35,Sales,Sales Representative,0,Early Career,3,2,1.0,1.0,1.5,1.0,0.5,13,1.0,High,0.9500000000000001,High,Adequate,Higher Stability
36,Research & Development,Research Scientist,0,Early Career,1,1,0.0,1.0,3.0,0.0,0.16666666666666666,14,0.4,Medium,0.6,Medium,Adequate,Lower Stability
33,Sales,Sales Executive,0,Growth Stage,0,3,0.2,0.6,0.6,0.6,0.2,38,0.36,Medium,0.54,Medium,Adequate,Lower Stability
35,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,3.0,0.0,1.0,12,0.0,Low,0.1,Low,Adequate,Lower Stability
27,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,6.0,0.0,1.0,13,0.0,Low,0.0,Low,Adequate,Lower Stability
26,Research & Development,Laboratory Technician,1,Early Career,1,1,0.0,0.0,2.0,1.0,1.0,12,0.0,Low,0.13333333333333336,Low,Adequate,Higher Stability
27,Sales,Sales Executive,0,Mid Career,0,0,0.1111111111111111,0.8888888888888888,0.0,0.7777777777777778,0.3333333333333333,45,0.4222222222222222,Medium,0.6777777777777778,High,Needs Development,Higher Stability
30,Research & Development,Laboratory Technician,0,Mid Career,2,0,0.25,0.6666666666666666,0.16666666666666666,0.5833333333333334,0.16666666666666666,46,0.41666666666666663,Medium,0.6027777777777777,Medium,Needs Development,Lower Stability
41,Research & Development,Research Director,1,Senior Career,2,0,0.6818181818181818,0.6818181818181818,0.0,0.36363636363636365,0.21739130434782608,60,0.6818181818181818,High,0.7454545454545454,High,Needs Development,Lower Stability
34,Sales,Sales Executive,0,Mid Career,3,2,0.8888888888888888,0.5555555555555556,0.2222222222222222,0.7777777777777778,0.2,40,0.7555555555555555,High,0.737037037037037,High,Needs Development,Higher Stability
37,Research & Development,Research Scientist,0,Early Career,1,1,0.0,0.0,1.0,0.0,0.125,21,0.0,Low,0.16666666666666669,Low,Adequate,Lower Stability
46,Sales,Sales Executive,0,Mid Career,0,0,0.0,0.6666666666666666,0.4444444444444444,0.8888888888888888,0.14285714285714285,42,0.26666666666666666,Low,0.5185185185185185,Medium,Needs Development,Higher Stability
35,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,2.0,1.0,1.0,19,0.0,Low,0.13333333333333336,Low,Adequate,Higher Stability
48,Research & Development,Laboratory Technician,1,Early Career,1,1,0.0,0.0,2.0,0.0,0.13043478260869565,39,0.0,Low,0.13333333333333336,Low,Adequate,Lower Stability
28,Research & Development,Laboratory Technician,1,Early Career,3,2,1.0,1.0,1.5,1.0,0.5,13,1.0,High,0.9500000000000001,High,Adequate,Higher Stability
44,Sales,Sales Executive,0,Growth Stage,0,3,0.25,0.75,0.5,0.75,0.2222222222222222,42,0.45000000000000007,Medium,0.6333333333333333,Medium,Adequate,Higher Stability
35,Research & Development,Healthcare Representative,0,Growth Stage,0,3,0.5,0.0,0.75,0.75,0.3,39,0.3,Medium,0.325,Low,Adequate,Higher Stability
26,Sales,Sales Executive,0,Early Career,0,3,0.0,1.0,1.0,0.0,0.4,38,0.4,Medium,0.6666666666666667,High,Adequate,Lower Stability
33,Research & Development,Research Director,0,Senior Career,2,0,0.5333333333333333,0.9333333333333333,0.06666666666666667,0.8,0.2,36,0.6933333333333334,High,0.8244444444444445,High,Needs Development,Higher Stability
35,Sales,Sales Executive,0,Mid Career,0,0,0.1111111111111111,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.3333333333333333,66,0.4222222222222222,Medium,0.6666666666666666,High,Needs Development,Higher Stability
35,Research & Development,Laboratory Technician,0,Early Career,3,2,1.0,1.0,1.5,1.0,0.25,15,1.0,High,0.9500000000000001,High,Adequate,Higher Stability
31,Research & Development,Laboratory Technician,0,Mid Career,0,0,0.14285714285714285,1.0,0.42857142857142855,1.0,0.2,44,0.4857142857142857,High,0.7285714285714285,High,Needs Development,Higher Stability
37,Research & Development,Manufacturing Director,0,Mid Career,0,3,0.0,0.7142857142857143,0.2857142857142857,1.0,0.2857142857142857,36,0.28571428571428575,Medium,0.5476190476190477,Medium,Needs Development,Higher Stability
32,Research & Development,Manufacturing Director,0,Mid Career,2,2,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.2222222222222222,44,0.8222222222222222,High,0.8666666666666667,High,Needs Development,Higher Stability
38,Research & Development,Laboratory Technician,0,Mid Career,2,2,0.9,0.3,0.2,0.9,0.2,22,0.66,High,0.6133333333333334,Medium,Needs Development,Higher Stability
50,Research & Development,Research Director,0,Senior Career,2,0,0.48148148148148145,0.1111111111111111,0.07407407407407407,0.2962962962962963,0.1724137931034483,60,0.3333333333333333,Medium,0.3975308641975308,Low,Needs Development,Lower Stability
59,Sales,Sales Executive,0,Senior Career,2,0,0.3333333333333333,0.7619047619047619,0.14285714285714285,0.42857142857142855,0.10714285714285714,33,0.5047619047619047,High,0.6761904761904761,High,Needs Development,Lower Stability
36,Research & Development,Healthcare Representative,0,Senior Career,2,0,0.7058823529411765,0.8235294117647058,0.11764705882352941,0.47058823529411764,0.17647058823529413,39,0.7529411764705882,High,0.8196078431372549,High,Needs Development,Lower Stability
55,Research & Development,Manager,0,Growth Stage,0,3,0.0,0.0,0.4,0.4,0.19047619047619047,56,0.0,Low,0.18666666666666668,Low,Needs Development,Lower Stability
36,Research & Development,Manufacturing Director,0,Growth Stage,0,3,0.0,0.8333333333333334,0.5,0.5,0.3333333333333333,26,0.33333333333333337,Medium,0.6000000000000001,Medium,Adequate,Lower Stability
45,Research & Development,Research Scientist,0,Early Career,1,1,0.0,0.0,2.0,0.0,0.12,51,0.0,Low,0.13333333333333336,Low,Adequate,Lower Stability
35,Research & Development,Research Scientist,0,Growth Stage,0,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.2,13,0.4666666666666667,Medium,0.6111111111111112,Medium,Adequate,Higher Stability
36,Research & Development,Research Scientist,1,Early Career,1,1,0.0,0.0,0.0,0.0,0.5,17,0.0,Low,0.2,Low,Needs Development,Lower Stability
59,Sales,Sales Executive,0,Growth Stage,0,3,0.25,0.75,0.5,0.75,0.1,22,0.45000000000000007,Medium,0.6333333333333333,Medium,Adequate,Higher Stability
29,Research & Development,Research Scientist,0,Growth Stage,0,3,0.0,0.8,0.6,0.8,0.16666666666666666,23,0.32000000000000006,Medium,0.5800000000000001,Medium,Adequate,Higher Stability
31,Research & Development,Research Scientist,0,Early Career,1,1,1.0,1.0,4.0,0.0,1.0,17,1.0,High,0.8666666666666667,High,Adequate,Lower Stability
32,Research & Development,Research Scientist,0,Mid Career,0,3,0.0,0.4,0.3,0.9,0.2,34,0.16000000000000003,Low,0.39,Low,Needs Development,Higher Stability
36,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,3.0,0.0,0.2,12,0.0,Low,0.1,Low,Adequate,Lower Stability
31,Research & Development,Manufacturing Director,0,Mid Career,0,0,0.09090909090909091,0.6363636363636364,0.18181818181818182,0.7272727272727273,0.18181818181818182,46,0.30909090909090914,Medium,0.5393939393939394,Medium,Needs Development,Higher Stability
35,Sales,Sales Executive,0,Senior Career,2,0,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.5333333333333333,0.125,28,0.4266666666666667,Medium,0.668888888888889,High,Needs Development,Lower Stability
45,Research & Development,Research Director,0,Early Career,1,1,0.0,0.0,3.0,0.0,0.17647058823529413,42,0.0,Low,0.1,Low,Adequate,Lower Stability
37,Research & Development,Research Director,0,Growth Stage,0,3,0.0,0.4,0.6,0.4,0.1875,39,0.16000000000000003,Low,0.38,Low,Adequate,Lower Stability
46,Human Resources,Human Resources,0,Growth Stage,0,3,0.0,0.5,0.5,0.5,0.125,44,0.2,Low,0.43333333333333335,Low,Adequate,Lower Stability
30,Research & Development,Laboratory Technician,0,Mid Career,0,3,0.3,0.8,0.1,0.0,0.2,24,0.5,High,0.6866666666666666,High,Needs Development,Lower Stability
35,Research & Development,Research Scientist,0,Growth Stage,0,3,0.0,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,18,0.26666666666666666,Low,0.5166666666666666,Medium,Adequate,Higher Stability
55,Sales,Sales Executive,0,Early Career,1,1,1.0,0.0,4.0,0.0,0.125,42,0.6,High,0.3666666666666667,Low,Adequate,Lower Stability
38,Research & Development,Research Scientist,0,Mid Career,2,0,0.07692307692307693,0.8461538461538461,0.23076923076923078,0.6923076923076923,0.11764705882352941,24,0.38461538461538464,Medium,0.6384615384615384,Medium,Needs Development,Higher Stability
34,Research & Development,Manufacturing Director,0,Growth Stage,0,3,0.2,0.4,0.4,0.6,0.4,30,0.28,Medium,0.44666666666666666,Low,Needs Development,Lower Stability
56,Research & Development,Manufacturing Director,0,Growth Stage,0,3,0.0,0.6666666666666666,0.5,0.3333333333333333,0.08108108108108109,33,0.26666666666666666,Low,0.5166666666666666,Medium,Adequate,Lower Stability
23,Sales,Sales Representative,0,Early Career,1,1,0.0,0.0,3.0,0.0,0.3333333333333333,13,0.0,Low,0.1,Low,Adequate,Lower Stability
51,Research & Development,Laboratory Technician,0,Growth Stage,0,3,0.0,0.5,1.0,0.75,0.1,23,0.2,Low,0.4166666666666667,Low,Adequate,Higher Stability
30,Research & Development,Healthcare Representative,0,Mid Career,2,0,0.9090909090909091,0.9090909090909091,0.2727272727272727,0.7272727272727273,0.18181818181818182,38,0.9090909090909091,High,0.9181818181818182,High,Needs Development,Higher Stability
46,Sales,Sales Executive,1,Mid Career,2,0,0.4444444444444444,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.3333333333333333,48,0.6222222222222222,High,0.7666666666666666,High,Needs Development,Higher Stability
40,Research & Development,Healthcare Representative,0,Senior Career,2,0,0.5,0.13636363636363635,0.13636363636363635,0.5,0.18181818181818182,88,0.35454545454545455,Medium,0.41363636363636364,Low,Needs Development,Lower Stability
51,Sales,Sales Executive,0,Mid Career,0,3,0.1,0.7,0.2,0.0,0.18181818181818182,44,0.33999999999999997,Medium,0.5733333333333334,Medium,Needs Development,Lower Stability
30,Sales,Sales Executive,0,Mid Career,0,0,0.18181818181818182,0.7272727272727273,0.36363636363636365,0.6363636363636364,0.18181818181818182,24,0.4,Medium,0.6060606060606061,Medium,Needs Development,Lower Stability
46,Research & Development,Healthcare Representative,0,Mid Career,2,2,0.9,0.9,0.5,0.5,0.14285714285714285,39,0.9000000000000001,High,0.9033333333333334,High,Adequate,Lower Stability
32,Sales,Sales Executive,0,Mid Career,2,0,0.45454545454545453,0.7272727272727273,0.0,0.6363636363636364,0.16666666666666666,32,0.5636363636363637,High,0.7,High,Needs Development,Lower Stability
54,Research & Development,Research Director,0,Growth Stage,0,3,0.0,0.75,1.25,0.75,0.1875,36,0.30000000000000004,Medium,0.5333333333333333,Medium,Adequate,Higher Stability
24,Sales,Sales Executive,0,Growth Stage,0,3,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,42,0.26666666666666666,Low,0.5111111111111111,Medium,Adequate,Higher Stability
28,Sales,Sales Executive,0,Growth Stage,0,3,0.0,0.8,0.6,0.8,0.4,30,0.32000000000000006,Medium,0.5800000000000001,Medium,Adequate,Higher Stability
58,Sales,Sales Executive,0,Senior Career,2,0,0.02702702702702703,0.2702702702702703,0.02702702702702703,0.21621621621621623,0.10526315789473684,52,0.12432432432432433,Low,0.3423423423423424,Low,Needs Development,Lower Stability
44,Research & Development,Laboratory Technician,0,Growth Stage,0,3,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.11764705882352941,24,0.4666666666666667,Medium,0.6000000000000001,Medium,Adequate,Higher Stability
37,Human Resources,Human Resources,1,Growth Stage,0,3,0.0,0.6666666666666666,1.0,0.6666666666666666,0.14285714285714285,22,0.26666666666666666,Low,0.5,Medium,Adequate,Higher Stability
32,Research & Development,Research Scientist,0,Early Career,1,1,0.0,0.0,2.0,0.0,1.0,13,0.0,Low,0.13333333333333336,Low,Adequate,Lower Stability
20,Research & Development,Laboratory Technician,1,Early Career,1,1,1.0,0.0,5.0,0.0,1.0,18,0.6,High,0.3333333333333333,Low,Adequate,Lower Stability
34,Research & Development,Research Scientist,0,Senior Career,2,0,0.125,0.8125,0.1875,0.625,0.125,28,0.4,Medium,0.6375,Medium,Needs Development,Lower Stability
37,Research & Development,Healthcare Representative,0,Early Career,1,1,0.0,0.0,2.0,0.0,0.11764705882352941,28,0.0,Low,0.13333333333333336,Low,Adequate,Lower Stability
59,Human Resources,Manager,0,Growth Stage,3,2,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.16666666666666666,105,0.6666666666666666,High,0.7,High,Adequate,Higher Stability
50,Research & Development,Research Director,0,Mid Career,0,3,0.0,0.375,0.125,0.875,0.17857142857142858,95,0.15000000000000002,Low,0.3833333333333333,Low,Needs Development,Higher Stability
25,Sales,Sales Executive,1,Growth Stage,0,3,0.0,0.6666666666666666,0.16666666666666666,0.5,0.3333333333333333,22,0.26666666666666666,Low,0.5277777777777778,Medium,Needs Development,Lower Stability
25,Research & Development,Research Scientist,0,Early Career,3,2,1.0,1.0,1.0,0.5,0.5,11,1.0,High,0.9666666666666668,High,Adequate,Lower Stability
22,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,5.0,0.0,1.0,15,0.0,Low,0.03333333333333335,Low,Adequate,Lower Stability
51,Research & Development,Healthcare Representative,0,Mid Career,2,0,0.9230769230769231,0.9230769230769231,0.07692307692307693,0.6153846153846154,0.13043478260869565,60,0.9230769230769231,High,0.9358974358974359,High,Needs Development,Lower Stability
34,Research & Development,Laboratory Technician,1,Mid Career,0,0,0.0,0.7777777777777778,0.3333333333333333,0.6666666666666666,0.2222222222222222,48,0.3111111111111111,Medium,0.5777777777777777,Medium,Needs Development,Higher Stability
54,Human Resources,Manager,0,Growth Stage,3,2,0.8,0.6,0.6,0.8,0.17391304347826086,48,0.72,High,0.7200000000000001,High,Adequate,Higher Stability
24,Research & Development,Laboratory Technician,0,Growth Stage,0,3,0.2,0.6,0.4,0.4,0.16666666666666666,12,0.36,Medium,0.5466666666666666,Medium,Needs Development,Lower Stability
34,Research & Development,Research Scientist,0,Early Career,1,1,0.0,0.0,3.0,0.0,0.16666666666666666,30,0.0,Low,0.1,Low,Adequate,Lower Stability
37,Sales,Sales Executive,0,Growth Stage,0,3,0.2,0.6,0.6,0.6,0.25,36,0.36,Medium,0.54,Medium,Adequate,Lower Stability
34,Research & Development,Manager,0,Mid Career,2,0,0.45454545454545453,0.9090909090909091,0.5454545454545454,0.7272727272727273,0.21428571428571427,36,0.6363636363636364,High,0.7727272727272727,High,Adequate,Higher Stability
36,Sales,Sales Executive,0,Mid Career,0,0,0.2222222222222222,0.7777777777777778,0.6666666666666666,0.8888888888888888,0.3,42,0.4444444444444444,Medium,0.6333333333333333,Medium,Adequate,Higher Stability
36,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,2.0,0.0,0.14285714285714285,22,0.0,Low,0.13333333333333336,Low,Adequate,Lower Stability
43,Sales,Manager,0,Senior Career,2,0,0.16,0.48,0.12,0.48,0.16,48,0.28800000000000003,Medium,0.48400000000000004,Low,Needs Development,Lower Stability
30,Research & Development,Research Scientist,0,Mid Career,0,0,0.0,0.7,0.2,0.9,0.1,25,0.27999999999999997,Low,0.5433333333333333,Medium,Needs Development,Higher Stability
33,Sales,Sales Executive,0,Mid Career,0,0,0.0,1.0,0.2857142857142857,1.0,0.25,26,0.4,Medium,0.6904761904761905,High,Needs Development,Higher Stability
56,Research & Development,Research Scientist,1,Growth Stage,3,2,0.8,0.8,0.4,0.6,0.14285714285714285,18,0.8,High,0.8266666666666667,High,Needs Development,Lower Stability
51,Research & Development,Research Director,0,Senior Career,2,0,0.75,0.9,0.25,0.75,0.21739130434782608,65,0.81,High,0.8666666666666667,High,Needs Development,Higher Stability
31,Sales,Sales Executive,1,Mid Career,3,2,1.0,1.0,0.42857142857142855,1.0,0.16666666666666666,36,1.0,High,0.9857142857142858,High,Needs Development,Higher Stability
26,Research & Development,Research Scientist,0,Growth Stage,3,2,0.8,0.8,0.6,0.6,0.2,19,0.8,High,0.8200000000000001,High,Adequate,Lower Stability
58,Research & Development,Healthcare Representative,1,Senior Career,2,0,0.375,0.25,0.075,0.15,0.075,36,0.32499999999999996,Medium,0.435,Low,Needs Development,Lower Stability
19,Sales,Sales Representative,1,Early Career,1,1,0.0,0.0,2.0,0.0,1.0,19,0.0,Low,0.13333333333333336,Low,Adequate,Lower Stability
22,Research & Development,Laboratory Technician,0,Early Career,3,2,1.0,0.5,1.0,0.5,0.3333333333333333,14,0.8,High,0.7166666666666668,High,Adequate,Lower Stability
49,Research & Development,Manufacturing Director,0,Senior Career,2,0,0.3333333333333333,0.7333333333333333,0.13333333333333333,0.7333333333333333,0.125,28,0.4933333333333333,High,0.6622222222222222,High,Needs Development,Higher Stability
43,Research & Development,Research Scientist,0,Growth Stage,0,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.05555555555555555,12,0.4666666666666667,Medium,0.6111111111111112,Medium,Adequate,Higher Stability
50,Sales,Sales Executive,0,Early Career,3,2,1.0,1.0,1.5,0.5,0.1875,33,1.0,High,0.9500000000000001,High,Adequate,Lower Stability
31,Sales,Sales Executive,1,Early Career,3,2,1.0,1.0,1.0,1.0,0.5,22,1.0,High,0.9666666666666668,High,Adequate,Higher Stability
41,Sales,Sales Executive,0,Mid Career,0,0,0.0,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.25,39,0.3111111111111111,Medium,0.5814814814814815,Medium,Needs Development,Higher Stability
26,Human Resources,Human Resources,0,Mid Career,3,2,0.625,0.875,0.375,0.875,0.125,23,0.7250000000000001,High,0.8125,High,Needs Development,Higher Stability
36,Research & Development,Manufacturing Director,0,Growth Stage,0,3,0.0,0.6666666666666666,0.0,0.3333333333333333,0.2857142857142857,40,0.26666666666666666,Low,0.5333333333333333,Medium,Needs Development,Lower Stability
51,Research & Development,Manufacturing Director,1,Growth Stage,0,3,0.0,0.5,0.5,0.75,0.16666666666666666,45,0.2,Low,0.43333333333333335,Low,Adequate,Higher Stability
39,Sales,Sales Executive,0,Senior Career,2,0,0.3333333333333333,0.7333333333333333,0.06666666666666667,0.6,0.11764705882352941,28,0.4933333333333333,High,0.6644444444444444,High,Needs Development,Lower Stability
25,Sales,Sales Executive,0,Early Career,3,2,1.0,1.0,1.5,1.0,0.3333333333333333,36,1.0,High,0.9500000000000001,High,Adequate,Higher Stability
30,Human Resources,Human Resources,0,Mid Career,2,0,0.36363636363636365,0.8181818181818182,0.18181818181818182,0.6363636363636364,0.16666666666666666,38,0.5454545454545455,High,0.7121212121212122,High,Needs Development,Lower Stability
32,Research & Development,Laboratory Technician,1,Growth Stage,0,3,0.0,0.8,0.4,0.8,0.1,22,0.32000000000000006,Medium,0.5866666666666667,Medium,Needs Development,Higher Stability
45,Research & Development,Research Scientist,0,Growth Stage,0,3,0.0,0.8333333333333334,0.3333333333333333,0.5,0.1111111111111111,13,0.33333333333333337,Medium,0.6055555555555556,Medium,Needs Development,Lower Stability
38,Research & Development,Research Scientist,0,Growth Stage,3,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10526315789473684,40,0.6666666666666666,High,0.7111111111111111,High,Adequate,Higher Stability
30,Research & Development,Research Scientist,0,Growth Stage,0,3,0.0,0.8,0.8,0.8,0.2,14,0.32000000000000006,Medium,0.5733333333333334,Medium,Adequate,Higher Stability
32,Sales,Sales Executive,0,Mid Career,0,0,0.0,0.875,0.25,0.875,0.2222222222222222,34,0.35000000000000003,Medium,0.6291666666666667,Medium,Needs Development,Higher Stability
30,Research & Development,Research Scientist,0,Growth Stage,3,2,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.125,14,0.6666666666666666,High,0.7,High,Adequate,Higher Stability
30,Research & Development,Laboratory Technician,0,Growth Stage,0,3,0.2,0.6,0.6,0.4,0.16666666666666666,13,0.36,Medium,0.54,Medium,Adequate,Lower Stability
41,Research & Development,Manager,0,Mid Career,3,2,1.0,0.8571428571428571,0.2857142857142857,1.0,0.19047619047619047,52,0.9428571428571428,High,0.919047619047619,High,Needs Development,Higher Stability
41,Research & Development,Laboratory Technician,0,Growth Stage,0,3,0.2,0.0,0.4,0.8,0.14285714285714285,21,0.12,Low,0.24666666666666667,Low,Needs Development,Higher Stability
19,Research & Development,Laboratory Technician,0,Early Career,1,1,0.0,0.0,3.0,0.0,1.0,14,0.0,Low,0.1,Low,Adequate,Lower Stability
